"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	2	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	1	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			3	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	7	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	2	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			9	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	7	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	2	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			9	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	16	20109479	Unreliable
