"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2002"	"2002"	2	20071157	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2003"	"2003"	1	20026122	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2005"	"2005"	1	19822282	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2008"	"2008"	1	19856962	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2010"	"2010"	1	20056351	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2015"	"2015"	2	20129986	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2016"	"2016"	2	20099377	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	2	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	1	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			13	400335642	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"1999"	"1999"	1	19908282	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2000"	"2000"	4	20034103	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2002"	"2002"	1	20071157	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2003"	"2003"	2	20026122	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2004"	"2004"	5	19946937	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2005"	"2005"	4	19822282	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2009"	"2009"	1	19963476	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2011"	"2011"	1	20067831	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2012"	"2012"	1	20118347	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2013"	"2013"	1	20159538	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2014"	"2014"	3	20161424	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2015"	"2015"	7	20129986	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2016"	"2016"	1	20099377	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	7	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	2	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			41	400335642	0.0
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2000"	"2000"	2	20034103	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2001"	"2001"	1	20075767	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2002"	"2002"	1	20071157	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2003"	"2003"	1	20026122	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2004"	"2004"	4	19946937	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2006"	"2006"	2	19817117	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2007"	"2007"	1	19810765	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2008"	"2008"	4	19856962	Unreliable
